City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,chernyshevsk,52.5243,117.0174,-20.0,88,100,3.3,RU,1706379581
324,fortuna foothills,32.6578,-114.4119,18.45,35,0,6.69,US,1706379581
325,mohammedia,33.7066,-7.3944,19.23,72,2,1.54,MA,1706379582
326,marine corps base hawaii - mcbh,21.4453,-157.7513,24.98,81,5,2.68,US,1706379582
327,miri,4.4148,114.0089,26.08,89,40,3.09,MY,1706379582
328,marsh harbour,26.5412,-77.0636,24.4,77,100,7.13,BS,1706379582
329,hurghada,27.2574,33.8129,15.51,54,0,6.69,EG,1706379583
330,christchurch,-43.5333,172.6333,15.26,64,100,1.95,NZ,1706379541
331,tanabe,33.7333,135.3667,4.95,78,31,3.97,JP,1706379583
332,kulhudhuffushi,6.6221,73.07,27.47,66,34,3.38,MV,1706379583
333,horta,38.5333,-28.6333,15.01,84,40,8.75,PT,1706379584
334,ciudad guayana,8.3533,-62.6528,35.79,25,15,3.59,VE,1706379584
335,pont rouge,48.8833,-72.0825,-1.84,92,100,2.68,CA,1706379584
336,port macquarie,-31.4333,152.9167,22.16,96,100,1.45,AU,1706379584
337,namdrik,5.5994,168.1028,27.71,63,100,5.71,MH,1706379585
338,kumeny,58.1089,49.9161,-12.44,99,99,1.83,RU,1706379585
339,mtskheta,41.8451,44.7188,0.05,90,99,1.88,GE,1706379585
340,biryusinsk,55.9634,97.8235,-16.23,91,39,4.29,RU,1706379585
341,yanbu,24.0891,38.0637,21.02,60,0,4.12,SA,1706379586
342,san felipe,10.3399,-68.7425,32.16,40,11,3.75,VE,1706379586
343,akcaabat,41.0212,39.5715,6.93,65,75,4.12,TR,1706379586
344,toungo,8.1167,12.05,25.33,19,0,2.18,NG,1706379586
345,gowurdak,37.8124,66.0466,12.36,56,100,2.86,TM,1706379586
346,saudarkrokur,65.7461,-19.6394,-5.19,84,32,5.96,IS,1706379587
347,manismata,-2.4667,111.0333,23.77,98,88,1.03,ID,1706379587
